1	21,333333333333336%
2	21,333333333333336%
3	21,333333333333336%
4	17,333333333333336%
5	20,0%
6	22,666666666666664%
7	20,0%
8	16,0%
9	18,666666666666668%
10	17,333333333333336%
11	17,333333333333336%
12	16,0%
13	13,333333333333334%
14	16,0%
15	14,666666666666666%
16	14,666666666666666%
17	14,666666666666666%
18	14,666666666666666%
19	17,333333333333336%
20	12,0%
21	17,333333333333336%
22	20,0%
23	22,666666666666664%
24	18,666666666666668%
25	24,0%
26	21,333333333333336%
27	21,333333333333336%
28	18,666666666666668%
29	22,666666666666664%
30	26,666666666666668%
31	21,333333333333336%
32	21,333333333333336%
33	22,666666666666664%
34	28,000000000000004%
35	25,333333333333336%
36	28,000000000000004%
37	28,000000000000004%
38	30,666666666666664%
39	30,666666666666664%
40	33,33333333333333%
41	32,0%
42	34,66666666666667%
43	34,66666666666667%
44	37,333333333333336%
45	40,0%
46	40,0%
47	40,0%
48	38,666666666666664%
49	36,0%
50	40,0%
51	36,0%
52	38,666666666666664%
53	40,0%
54	41,333333333333336%
55	46,666666666666664%
56	45,33333333333333%
57	45,33333333333333%
58	48,0%
59	49,333333333333336%
60	48,0%
61	56,00000000000001%
62	54,666666666666664%
63	60,0%
64	64,0%
65	65,33333333333333%
66	70,66666666666667%
67	70,66666666666667%
68	69,33333333333334%
69	68,0%
70	69,33333333333334%
71	72,0%
72	76,0%
73	100,0%
74	100,0%
